,date,playlist_type,avg_popularity,artist,num_distinct_songs
562,2023-11-04,Top,68.0,GREY D,2
563,2023-11-04,Top,52.5,Galena,2
564,2023-11-04,Top,74.5,Gazo,2
565,2023-11-04,Top,72.5,Gino Mella,2
566,2023-11-04,Top,66.5,Gobs,2
567,2023-11-04,Top,82.33333333333333,Grupo Firme,2
568,2023-11-04,Top,84.5,Guilherme & Benuto,2
569,2023-11-04,Viral,53.5,Gutterommet,2
570,2023-11-04,Top,68.0,Guzior,2
571,2023-11-04,Top,77.0,Halodayı,2
572,2023-11-04,Top,22.5,Harry Cane,2
573,2023-11-04,Top,68.0,Hawk,2
574,2023-11-04,Top,77.5,Hev Abi,2
575,2023-11-04,Viral,47.0,Hiromi,2
576,2023-11-04,Top,66.5,Hov1,2
577,2023-11-04,Viral,57.0,IAMJJ,2
578,2023-11-04,Viral,49.0,ICEGUYS,2
579,2023-11-04,Top,64.0,ICEKIID,2
580,2023-11-04,Top,59.0,IDK,2
581,2023-11-04,Viral,81.33333333333333,IVE,2
582,2023-11-04,Top,59.5,Inkonnu,2
583,2023-11-04,Top,65.5,Ivandro,2
584,2023-11-04,Viral,39.5,Jaber,2
585,2023-11-04,Top,86.66666666666667,James Arthur,2
586,2023-11-04,Viral,62.0,Jasmin Moallem,2
587,2023-11-04,Top,66.5,Jay Chou,2
588,2023-11-04,Top,60.2,Jazeek,2
589,2023-11-04,Viral,70.4,Jogga,2
590,2023-11-04,Viral,72.38709677419355,John Carpenter,2
591,2023-11-04,Top,67.0,Josman,2
592,2023-11-04,Top,63.5,Juliette,2
593,2023-11-04,Viral,80.1,Jung Kook,2
594,2023-11-04,Viral,67.70588235294117,K.A.D,2
595,2023-11-04,Top,59.0,KUUMAA,2
596,2023-11-04,Top,79.5,Karan Aujla,2
597,2023-11-04,Top,62.0,Karim Cristiano,2
598,2023-11-04,Top,80.5,King,2
599,2023-11-04,Viral,52.0,Kira7,2
600,2023-11-04,Top,66.5,Kudos,2
601,2023-11-04,Top,63.5,L.A.B.,2
602,2023-11-04,Top,58.5,LA NUEVA ESCUELA,2
603,2023-11-04,Top,76.5,LISA,2
604,2023-11-04,Top,62.5,Lamin,2
605,2023-11-04,Viral,56.0,Lauri Haav,2
606,2023-11-04,Top,56.5,Lava,2
607,2023-11-04,Viral,46.0,Leellamarz,2
608,2023-11-04,Viral,54.0,Leon Schuster,2
609,2023-11-04,Viral,60.0,Lil Big Stack,2
610,2023-11-04,Top,81.0,Lola Amour,2
611,2023-11-04,Top,86.4,Loreen,2
612,2023-11-04,Viral,82.5,Loreen,2
613,2023-11-04,Top,66.5,Low G,2
614,2023-11-04,Top,85.66666666666667,Luan Pereira,2
615,2023-11-04,Top,84.0,Luan Santana,2
616,2023-11-04,Top,75.2,Luciano,2
617,2023-11-04,Top,76.5,Lucky Brown,2
618,2023-11-04,Top,87.5,Luke Combs,2
619,2023-11-04,Top,59.5,Lwah Ndlunkulu,2
620,2023-11-04,Viral,41.0,MARCOELPOP,2
621,2023-11-04,Top,46.5,MBT,2
622,2023-11-04,Top,68.0,Madihu,2
623,2023-11-04,Top,84.4,Maria Becerra,2
624,2023-11-04,Viral,70.1875,Mark Ambor,2
625,2023-11-04,Viral,63.0,Marlon Hoffstadt,2
626,2023-11-04,Top,10.8,Marshmello,2
627,2023-11-04,Top,61.0,Marstein,2
628,2023-11-04,Top,42.0,Merro8,2
629,2023-11-04,Top,79.5,Mesita,2
630,2023-11-04,Top,54.0,Metejoor,2
631,2023-11-04,Top,90.2,Metro Boomin,2
632,2023-11-04,Top,84.5,Michelle Maciel,2
633,2023-11-04,Top,58.5,Mihályfi Luca,2
634,2023-11-04,Viral,74.0,Morad,2
635,2023-11-04,Top,86.75,Morgan Wallen,2
636,2023-11-04,Viral,29.0,Muerte Blanca LDU,2
637,2023-11-04,Top,62.5,Muhab,2
638,2023-11-04,Top,63.5,NEWLIGHTCHILD,2
639,2023-11-04,Viral,72.33333333333333,NIKI,2
640,2023-11-04,Viral,74.33333333333333,Nasa Histoires,2
641,2023-11-04,Top,86.0,Natanael Cano,2
642,2023-11-04,Top,76.5,Ninho,2
643,2023-11-04,Top,88.5,Noah Kahan,2
644,2023-11-04,Top,56.0,Odeya,2
645,2023-11-04,Viral,84.22222222222223,Offset,2
646,2023-11-04,Top,87.4,OneRepublic,2
647,2023-11-04,Top,86.33333333333333,Oscar Maydon,2
648,2023-11-04,Top,75.0,PLK,2
649,2023-11-04,Top,63.0,Pailita,2
650,2023-11-04,Top,58.0,Parfeniuk,2
651,2023-11-04,Top,54.5,Pil C,2
652,2023-11-04,Top,51.0,Proflame,2
653,2023-11-04,Viral,91.0,Quevedo,2
654,2023-11-04,Top,50.0,RICTA,2
655,2023-11-04,Top,72.0,RIIZE,2
656,2023-11-04,Top,67.0,Racoon,2
657,2023-11-04,Top,63.5,Ramy Sabry,2
658,2023-11-04,Top,82.33333333333333,Rauw Alejandro,2
659,2023-11-04,Top,66.5,Roi 6/12,2
660,2023-11-04,Viral,42.0,Rvmvn,2
661,2023-11-04,Top,63.0,SIDARTA,2
662,2023-11-04,Top,55.0,SIMILIVINLIFE,2
663,2023-11-04,Top,68.5,SNIK,2
664,2023-11-04,Viral,89.84210526315789,SUICIDAL-IDOL,2
665,2023-11-04,Top,92.0,SZA,2
666,2023-11-04,Top,61.5,SadSvit,2
667,2023-11-04,Top,53.5,Sadraddin,2
668,2023-11-04,Viral,80.14285714285714,Saiko,2
669,2023-11-04,Viral,63.5,Saixse,2
670,2023-11-04,Top,49.5,Sam Deep,2
671,2023-11-04,Top,64.0,Scally Milano,2
672,2023-11-04,Viral,38.0,Schoolgirl Byebye,2
673,2023-11-04,Top,75.5,Sefo,2
