,artist,upload_time,num_countries
293,Peggy Gou,2023-11-05 14:18:19.598429,9
294,SZA,2023-11-04 16:43:27.452336,9
295,SZA,2023-11-05 14:18:19.598429,9
296,SZA,2023-11-06 10:43:30.354751,9
297,Taiu,2023-11-04 16:43:27.452336,9
298,Taiu,2023-11-05 14:18:19.598429,9
299,Taiu,2023-11-06 10:43:30.354751,9
300,The Buttress,2023-11-05 14:18:19.598429,9
301,The Buttress,2023-11-06 10:43:30.354751,9
302,xxanteria,2023-11-06 10:43:30.354751,9
303,310babii,2023-11-05 14:18:19.598429,8
304,310babii,2023-11-06 10:43:30.354751,8
305,David Guetta,2023-11-04 16:43:27.452336,8
306,David Guetta,2023-11-06 10:43:30.354751,8
307,Eslabon Armado,2023-11-05 14:18:19.598429,8
308,Fuerza Regida,2023-11-04 16:43:27.452336,8
309,Fuerza Regida,2023-11-05 14:18:19.598429,8
310,Fuerza Regida,2023-11-06 10:43:30.354751,8
311,Jasiel Nuñez,2023-11-04 16:43:27.452336,8
312,Jasiel Nuñez,2023-11-05 14:18:19.598429,8
313,Jasiel Nuñez,2023-11-06 10:43:30.354751,8
314,Katya Lel,2023-11-04 16:43:27.452336,8
315,Mert Demir,2023-11-05 14:18:19.598429,8
316,Mert Demir,2023-11-06 10:43:30.354751,8
317,October Country,2023-11-04 16:43:27.452336,8
318,Offset,2023-11-05 14:18:19.598429,8
319,Offset,2023-11-06 10:43:30.354751,8
320,Peggy Gou,2023-11-04 16:43:27.452336,8
321,Peggy Gou,2023-11-06 10:43:30.354751,8
322,Soolking,2023-11-05 14:18:19.598429,8
323,Soolking,2023-11-06 10:43:30.354751,8
324,SwaggGlock,2023-11-04 16:43:27.452336,8
325,The Kolors,2023-11-04 16:43:27.452336,8
326,The Kolors,2023-11-05 14:18:19.598429,8
327,The Kolors,2023-11-06 10:43:30.354751,8
328,Wham!,2023-11-05 14:18:19.598429,8
329,ZWE1HVNDXR,2023-11-04 16:43:27.452336,8
330,ZWE1HVNDXR,2023-11-05 14:18:19.598429,8
331,ZWE1HVNDXR,2023-11-06 10:43:30.354751,8
332,xxanteria,2023-11-05 14:18:19.598429,8
333,Anar,2023-11-04 16:43:27.452336,7
334,Anuel AA,2023-11-04 16:43:27.452336,7
335,Anuel AA,2023-11-05 14:18:19.598429,7
336,Anuel AA,2023-11-06 10:43:30.354751,7
337,Bread Beatz,2023-11-05 14:18:19.598429,7
338,Bread Beatz,2023-11-06 10:43:30.354751,7
339,Humbe,2023-11-04 16:43:27.452336,7
340,IVE,2023-11-04 16:43:27.452336,7
341,JINI,2023-11-04 16:43:27.452336,7
342,JINI,2023-11-05 14:18:19.598429,7
343,JINI,2023-11-06 10:43:30.354751,7
344,LE SSERAFIM,2023-11-04 16:43:27.452336,7
345,LE SSERAFIM,2023-11-05 14:18:19.598429,7
346,LE SSERAFIM,2023-11-06 10:43:30.354751,7
347,Macklemore,2023-11-05 14:18:19.598429,7
348,Manu,2023-11-05 14:18:19.598429,7
349,Manu,2023-11-06 10:43:30.354751,7
350,Marka Akme,2023-11-04 16:43:27.452336,7
351,Marka Akme,2023-11-05 14:18:19.598429,7
352,Marka Akme,2023-11-06 10:43:30.354751,7
353,Mert Demir,2023-11-04 16:43:27.452336,7
354,Miley Cyrus,2023-11-04 16:43:27.452336,7
355,Miley Cyrus,2023-11-05 14:18:19.598429,7
356,Miley Cyrus,2023-11-06 10:43:30.354751,7
357,October Country,2023-11-05 14:18:19.598429,7
358,October Country,2023-11-06 10:43:30.354751,7
359,Piso 21,2023-11-05 14:18:19.598429,7
360,Piso 21,2023-11-06 10:43:30.354751,7
361,Roger Sanchez,2023-11-04 16:43:27.452336,7
362,Roger Sanchez,2023-11-05 14:18:19.598429,7
363,Roger Sanchez,2023-11-06 10:43:30.354751,7
364,Sabrina Carpenter,2023-11-05 14:18:19.598429,7
365,Sabrina Carpenter,2023-11-06 10:43:30.354751,7
366,Sayian Jimmy,2023-11-05 14:18:19.598429,7
